codigo;descripcion;descripcion_en;clasificacion
WP 650;Terapia de enfermedades genitales (General);Therapy of genital diseases (General);Medicina reproductiva
WP 660;Procedimientos quirúrgicos ginecológicos;Gynecological surgical procedures;Medicina reproductiva
WP 800;Obras generales;General works;Medicina reproductiva
WP 815;Examen. Diagnóstico. Métodos de diagnóstico. Monitoreo.;Examination. Diagnosis. Diagnostic methods. Monitoring;Medicina reproductiva
WP 825;Cambios funcionales de la mama durante el embarazo y la lactancia;Functional changes of the breast during pregnancy and lactation;Medicina reproductiva
WP 840;Enfermedades de la mama;Breast diseases;Medicina reproductiva
WP 870;Neoplasias de mama;Breast neoplasms;Medicina reproductiva
WP 900;Terapia;Therapy;Medicina reproductiva
WP 910;Cirugía;Surgery;Medicina reproductiva
[WP 930];[Este número no se utiliza];[This number not used];Medicina reproductiva
WP 940;Próstata;Prostate;Medicina reproductiva
WP 942;enfermedades prostáticas;Prostatic diseases;Medicina reproductiva
WP 944;Hiperplasia prostática;Prostatic hyperplasia;Medicina reproductiva
WP 946;Neoplasias prostáticas;Prostatic neoplasms;Medicina reproductiva
WP 948;Cirugía de próstata (General);Prostate surgery (General);Medicina reproductiva
WP 950;Pene;Penis;Medicina reproductiva
WP 960;Testículo;Testis;Medicina reproductiva
WP 963;enfermedades testiculares;Testicular diseases;Medicina reproductiva
WP 965;Neoplasias testiculares;Testicular neoplasms;Medicina reproductiva
WQ 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Obstetricia. Embarazo
WQ 5;Obras recopiladas de varios autores;Collected works by several authors;Obstetricia. Embarazo
WQ 7;Obras recopiladas de autores individuales;Collected works by individual authors;Obstetricia. Embarazo
WQ 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Obstetricia. Embarazo
WQ 11;Historia;History;Obstetricia. Embarazo
WQ 11.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Obstetricia. Embarazo
WQ 15;Clasificación. Terminología;Classification. Terminology;Obstetricia. Embarazo
WQ 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Obstetricia. Embarazo
WQ 16.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Obstetricia. Embarazo
WQ 18;Educación;Education;Obstetricia. Embarazo
WQ 18.2;Materiales educativos;Educational materials;Obstetricia. Embarazo
WQ 19;Escuelas, departamentos y facultades de obstetricia;Schools, departments, and faculties of obstetrics;Obstetricia. Embarazo
WQ 19.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 20;Investigación (General);Research (General);Obstetricia. Embarazo
WQ 21;Obstetricia como profesión. Perinatología como profesión. Ética. Revisión por pares.;Obstetrics as a profession. Perinatology as a profession. Ethics. Peer review;Obstetricia. Embarazo
WQ 22;Directorios;Directories;Obstetricia. Embarazo
WQ 22.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Obstetricia. Embarazo
WQ 23.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Obstetricia. Embarazo
WQ 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Obstetricia. Embarazo
WQ 26;Equipos y suministros;Equipment and supplies;Obstetricia. Embarazo
WQ 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Obstetricia. Embarazo
WQ 27;Hospitales, clínicas y dispensarios de maternidad colectiva;Collective maternity hospitals, clinics and dispensaries;Obstetricia. Embarazo
WQ 27.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 28;Hospitales de maternidad individuales, clínicas y dispensarios;Individual maternity hospitals, clinics and dispensaries;Obstetricia. Embarazo
WQ 28.5;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Obstetricia. Embarazo
WQ 28.6;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Obstetricia. Embarazo
WQ 32;Leyes;Laws;Obstetricia. Embarazo
WQ 32.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 33;Discusión de derecho;Discussion of law;Obstetricia. Embarazo
WQ 33.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 34;Negligencia. Responsabilidad;Malpractice. Liability;Obstetricia. Embarazo
WQ 34.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 39;Manuales. Guías de recursos;Handbooks. Resource guides;Obstetricia. Embarazo
[WQ 90];[Este número no se utiliza];[This number not used];Obstetricia. Embarazo
[WQ 90.1];[Este número no se utiliza];[This number not used];Obstetricia. Embarazo
WQ 100;Obras generales sobre obstetricia y embarazo;General works on obstetrics and pregnancy;Obstetricia. Embarazo
WQ 105;Salud materna;Maternal health;Obstetricia. Embarazo
WQ 150;Obras populares sobre el embarazo y el parto;Popular works on pregnancy and childbirth;Obstetricia. Embarazo
WQ 152;Parto natural;Natural childbirth;Obstetricia. Embarazo
WQ 155;Lugar de nacimiento;Birth setting;Obstetricia. Embarazo
WQ 160;Partería;Midwifery;Obstetricia. Embarazo
WQ 165;Manuales para parteras. Manuales;Manuals for midwives. Handbooks;Obstetricia. Embarazo
WQ 175;Atención prenatal. Educación prenatal para profesionales de la salud.;Prenatal care. Prenatal education for the health professional;Obstetricia. Embarazo
WQ 180;Atención perinatal;Perinatal care;Obstetricia. Embarazo
WQ 200;Embarazo (General);Pregnancy (General);Obstetricia. Embarazo
WQ 200.1;Cobertura general;General coverage;Obstetricia. Embarazo
WQ 201;Embarazo en la adolescencia (General);Pregnancy in adolescence (General);Obstetricia. Embarazo
WQ 202;Determinación del embarazo;Pregnancy determination;Obstetricia. Embarazo
WQ 203;Diagnóstico preimplantacional;Preimplantation diagnosis;Obstetricia. Embarazo
WQ 205;Fertilización;Fertilization;Obstetricia. Embarazo
WQ 206;Análisis de determinación del sexo;Sex determination analysis;Obstetricia. Embarazo
WQ 208;Técnicas de reproducción asistida (generales o no clasificadas en otra parte);Assisted reproductive techniques (General or not elsewhere classified);Obstetricia. Embarazo
WQ 208.2;Inseminación artificial;Artificial insemination;Obstetricia. Embarazo
WQ 208.4;Fertilización in vitro;Fertilization in vitro;Obstetricia. Embarazo
WQ 209;Diagnóstico prenatal;Prenatal diagnosis;Obstetricia. Embarazo
WQ 209.5;Monitoreo fetal;Fetal monitoring;Obstetricia. Embarazo
WQ 210;Feto (General);Fetus (General);Obstetricia. Embarazo
WQ 210.5;Anatomía, fisiología y bioquímica fetal;Fetal anatomy, physiology, and biochemistry;Obstetricia. Embarazo
WQ 211;Enfermedades fetales (generales o no clasificadas en otra parte);Fetal diseases (General or not elsewhere classified);Obstetricia. Embarazo
WQ 212;Placenta;Placenta;Obstetricia. Embarazo
WQ 215;Eclampsia. Preeclampsia;Eclampsia. Pre-eclampsia;Obstetricia. Embarazo
WQ 220;Embarazo ectópico;Ectopic pregnancy;Obstetricia. Embarazo
WQ 225;Aborto espontáneo. Muerte fetal. Muerte perinatal.;Spontaneous abortion. Fetal death. Perinatal death;Obstetricia. Embarazo
WQ 235;Embarazo múltiple;Multiple pregnancy;Obstetricia. Embarazo
WQ 240;Complicaciones del embarazo (generales o no clasificadas en otra parte);Pregnancy complications (General or not elsewhere classified);Obstetricia. Embarazo
WQ 244;Complicaciones cardiovasculares;Cardiovascular complications;Obstetricia. Embarazo
WQ 248;Diabetes;Diabetes;Obstetricia. Embarazo
WQ 252;Complicaciones hematológicas;Hematologic complications;Obstetricia. Embarazo
WQ 254;Embarazo de alto riesgo;High-risk pregnancy;Obstetricia. Embarazo
WQ 256;enfermedades infecciosas;Infectious diseases;Obstetricia. Embarazo
WQ 258;Obesidad;Obesity;Obstetricia. Embarazo
WQ 260;Complicaciones urológicas;Urologic complications;Obstetricia. Embarazo
WQ 270;Muerte materna;Maternal death;Obstetricia. Embarazo
WQ 300;Obras generales;General works;Obstetricia. Embarazo
WQ 305;Fisiología. Curso clínico;Physiology. Clinical course;Obstetricia. Embarazo
WQ 307;Presentación;Presentation;Obstetricia. Embarazo
WQ 310;Distocia;Dystocia;Obstetricia. Embarazo
WQ 320;desproporción cefalopélvica;Cephalopelvic disproportion;Obstetricia. Embarazo
WQ 330;Complicaciones del parto;Complications of labor;Obstetricia. Embarazo
WQ 400;Obras generales;General works;Obstetricia. Embarazo
[WQ 410];[Este número no se utiliza];[This number not used];Obstetricia. Embarazo
WQ 415;Entrega (incluida la manipulación preparatoria);Delivery (including preparatory manipulation);Obstetricia. Embarazo
WQ 425;Uso de fórceps;Use of forceps;Obstetricia. Embarazo
WQ 430;Cesárea. Sinfisiotomía.;Cesarean section. Symphysiotomy;Obstetricia. Embarazo
[WQ 435];[Este número no se utiliza];[This number not used];Obstetricia. Embarazo
WQ 440;Inducción del parto;Induction of labor;Obstetricia. Embarazo
WQ 445;aborto inducido;Induced abortion;Obstetricia. Embarazo
WQ 450;Reanimación del recién nacido;Resuscitation of the newborn;Obstetricia. Embarazo
WQ 500;Período posparto. Cuidados posnatales;Postpartum period. Postnatal care;Obstetricia. Embarazo
WQ 505;Trastornos puerperales;Puerperal disorders;Obstetricia. Embarazo
WQ 507;depresión posparto;Postpartum depression;Obstetricia. Embarazo
WR 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Dermatología. Sistema Tegumentario
WR 5;Obras recopiladas de varios autores;Collected works by several authors;Dermatología. Sistema Tegumentario
WR 7;Obras recopiladas de autores individuales;Collected works by individual authors;Dermatología. Sistema Tegumentario
WR 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Dermatología. Sistema Tegumentario
WR 11;Historia;History;Dermatología. Sistema Tegumentario
WR 11.1;Cobertura general;General coverage;Dermatología. Sistema Tegumentario
WR 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Dermatología. Sistema Tegumentario
WR 15;Clasificación. Terminología;Classification. Terminology;Dermatología. Sistema Tegumentario
WR 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Dermatología. Sistema Tegumentario
WR 16.1;Cobertura general;General coverage;Dermatología. Sistema Tegumentario
WR 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Dermatología. Sistema Tegumentario
WR 18;Educación;Education;Dermatología. Sistema Tegumentario
WR 18.2;Materiales educativos;Educational materials;Dermatología. Sistema Tegumentario
WR 19;Escuelas, departamentos y facultades de dermatología;Schools, departments, and faculties of dermatology;Dermatología. Sistema Tegumentario
WR 19.1;Cobertura general;General coverage;Dermatología. Sistema Tegumentario
WR 20;Investigación (General);Research (General);Dermatología. Sistema Tegumentario
WR 21;La dermatología como profesión. Ética. Revisión por pares.;Dermatology as a profession. Ethics. Peer review;Dermatología. Sistema Tegumentario
WR 22;Directorios;Directories;Dermatología. Sistema Tegumentario
WR 22.1;Cobertura general;General coverage;Dermatología. Sistema Tegumentario
WR 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Dermatología. Sistema Tegumentario
WR 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Dermatología. Sistema Tegumentario
WR 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Dermatología. Sistema Tegumentario
WR 26;Equipos y suministros;Equipment and supplies;Dermatología. Sistema Tegumentario
WR 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Dermatología. Sistema Tegumentario
WR 27;Hospitales colectivos, dispensarios, clínicas, etc.;Collective hospitals, dispensaries, clinics, etc.;Dermatología. Sistema Tegumentario
WR 27.1;Cobertura general;General coverage;Dermatología. Sistema Tegumentario
WR 28;Hospitales individuales, dispensarios, clínicas, etc.;Individual hospitals, dispensaries, clinics, etc.;Dermatología. Sistema Tegumentario
WR 28.5;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Dermatología. Sistema Tegumentario
WR 28.6;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Dermatología. Sistema Tegumentario
WR 32;Leyes;Laws;Dermatología. Sistema Tegumentario
WR 32.1;Cobertura general;General coverage;Dermatología. Sistema Tegumentario
WR 33;Discusión de derecho;Discussion of law;Dermatología. Sistema Tegumentario
WR 33.1;Cobertura general;General coverage;Dermatología. Sistema Tegumentario
WR 39;Manuales. Guías de recursos;Handbooks. Resource guides;Dermatología. Sistema Tegumentario
WR 100;Obras generales;General works;Dermatología. Sistema Tegumentario
WR 101;Anatomía. Histología. Embriología.;Anatomy. Histology. Embryology;Dermatología. Sistema Tegumentario
WR 102;Fenómenos fisiológicos del sistema tegumentario;Integumentary system physiological phenomena;Dermatología. Sistema Tegumentario
WR 103;Efectos de la radiación en la piel. Quemaduras solares.;Radiation effects on the skin. Sunburn;Dermatología. Sistema Tegumentario
WR 104;Tocar;Touch;Dermatología. Sistema Tegumentario
WR 105;Patología;Pathology;Dermatología. Sistema Tegumentario
WR 110;Protección de la piel;Skin care;Dermatología. Sistema Tegumentario
WR 140;Enfermedades de la piel (General);Skin diseases (General);Dermatología. Sistema Tegumentario
WR 141;Examen. Diagnóstico. Métodos de diagnóstico. Monitoreo.;Examination. Diagnosis. Diagnostic methods. Monitoring;Dermatología. Sistema Tegumentario
WR 143;Manifestaciones cutáneas;Skin manifestations;Dermatología. Sistema Tegumentario
WR 147;Erupciones acneiformes;Acneiform eruptions;Dermatología. Sistema Tegumentario
WR 149;Rosácea;Rosacea;Dermatología. Sistema Tegumentario
WR 150;Eritema;Erythema;Dermatología. Sistema Tegumentario
WR 152;Lupus eritematoso cutáneo;Cutaneous lupus erythematosus;Dermatología. Sistema Tegumentario
WR 155;Queratosis (general o no clasificada en otra parte);Keratosis (General or not elsewhere classified);Dermatología. Sistema Tegumentario
WR 160;Enfermedades cutáneas asociadas con hipersensibilidad. Dermatitis. Enfermedades cutáneas eccematosas.;Skin diseases associated with hypersensitivity. Dermatitis. Eczematous skin diseases;Dermatología. Sistema Tegumentario
WR 165;Erupciones por drogas;Drug eruptions;Dermatología. Sistema Tegumentario
WR 170;Urticaria. Angioedema;Urticaria. Angioedema;Dermatología. Sistema Tegumentario
WR 175;Dermatitis de contacto;Contact dermatitis;Dermatología. Sistema Tegumentario
WR 180;Dermatitis exfoliativa;Dermatitis exfoliativa;Dermatología. Sistema Tegumentario
WR 190;Eczema;Eczema;Dermatología. Sistema Tegumentario
WR 200;Enfermedades vesiculoampollosas de la piel;Vesiculobullous skin diseases;Dermatología. Sistema Tegumentario
WR 204;Enfermedades papuloescamosas de la piel;Papulosquamous skin diseases;Dermatología. Sistema Tegumentario
WR 205;Soriasis;Psoriasis;Dermatología. Sistema Tegumentario
WR 215;Liquen plano;Lichen planus;Dermatología. Sistema Tegumentario
WR 218;Enfermedades genéticas de la piel (generales o no clasificadas en otra parte);Genetic skin diseases (General or not elsewhere classified);Dermatología. Sistema Tegumentario
WR 220;Enfermedades infecciosas de la piel (generales, bacterianas o no clasificadas en otra parte);Infectious skin diseases (General, bacterial, or not elsewhere classified);Dermatología. Sistema Tegumentario
WR 225;Impétigo;Impetigo;Dermatología. Sistema Tegumentario
WR 235;Forunculosis;Furunculosis;Dermatología. Sistema Tegumentario
WR 245;tuberculosis cutánea;Cutaneous tuberculosis;Dermatología. Sistema Tegumentario
WR 260;Esclerodermia;Scleroderma;Dermatología. Sistema Tegumentario
WR 265;Trastornos de la pigmentación;Pigmentation disorders;Dermatología. Sistema Tegumentario
[WR 267];[Este número no se utiliza];[This number not used];Dermatología. Sistema Tegumentario
WR 280;Neurodermatitis. Trastornos somatosensoriales;Neurodermatitis. Somatosensory disorders;Dermatología. Sistema Tegumentario
WR 282;Prurito. Prurigo;Pruritus. Prurigo;Dermatología. Sistema Tegumentario
WR 300;Dermatomicosis;Dermatomycoses;Dermatología. Sistema Tegumentario
WR 310;Tiña;Tinea;Dermatología. Sistema Tegumentario
[WR 330];[Este número no se utiliza];[This number not used];Dermatología. Sistema Tegumentario
WR 340;Micetoma;Mycetoma;Dermatología. Sistema Tegumentario
WR 345;Enfermedades parasitarias de la piel (generales o no clasificadas en otra parte);Parasitic skin diseases (General or not elsewhere classified);Dermatología. Sistema Tegumentario
WR 350;Enfermedades tropicales de la piel (generales o no clasificadas en otra parte);Tropical diseases of the skin (General or not elsewhere classified);Dermatología. Sistema Tegumentario
WR 360;Enfermedades de la piel causadas por artrópodos (General o no clasificadas en otra parte);Skin diseases caused by arthropods (General or not elsewhere classified);Dermatología. Sistema Tegumentario
WR 365;Infestaciones de ácaros;Mite infestations;Dermatología. Sistema Tegumentario
WR 375;Infestaciones de piojos;Lice infestations;Dermatología. Sistema Tegumentario
WR 380;Infestaciones de garrapatas;Tick infestations;Dermatología. Sistema Tegumentario
[WR 390];[Este número no se utiliza];[This number not used];Dermatología. Sistema Tegumentario
WR 400;Sudor. Glándulas sudoríparas;Sweat. Sweat glands;Dermatología. Sistema Tegumentario
WR 410;glándulas sebáceas;Sebaceous glands;Dermatología. Sistema Tegumentario
WR 415;Dermatitis seborreica;Seborrheic dermatitis;Dermatología. Sistema Tegumentario
WR 420;quiste epidérmico;Epidermal cyst;Dermatología. Sistema Tegumentario
WR 430;Acné vulgar;Acne vulgaris;Dermatología. Sistema Tegumentario
WR 450;Cabello. Cuero cabelludo;Hair. Scalp;Dermatología. Sistema Tegumentario
WR 455;Hipertricosis. Hirsutismo.;Hypertrichosis. Hirsutism;Dermatología. Sistema Tegumentario
WR 460;Alopecia;Alopecia;Dermatología. Sistema Tegumentario
WR 465;Cuidado capilar. Preparaciones capilares.;Hair care. Hair preparations;Dermatología. Sistema Tegumentario
WR 475;Clavos;Nails;Dermatología. Sistema Tegumentario
WR 500;Neoplasias de la piel;Skin neoplasms;Dermatología. Sistema Tegumentario
WR 598;Úlceras en la piel;Skin ulcers;Dermatología. Sistema Tegumentario
WR 600;Dermatitis ocupacional;Occupational dermatitis;Dermatología. Sistema Tegumentario
WR 650;Terapia (general o no clasificada en otra parte);Therapy (General or not elsewhere classified);Dermatología. Sistema Tegumentario
WR 660;Radioterapia;Radiotherapy;Dermatología. Sistema Tegumentario
WR 670;Procedimientos quirúrgicos dermatológicos;Dermatologic surgical procedures;Dermatología. Sistema Tegumentario
WS 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Pediatría
WS 5;Obras recopiladas de varios autores;Collected works by several authors;Pediatría
WS 7;Obras recopiladas de autores individuales;Collected works by individual authors;Pediatría
WS 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Pediatría
WS 11;Historia;History;Pediatría
WS 11.1;Cobertura general;General coverage;Pediatría
WS 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Pediatría
WS 15;Clasificación. Terminología;Classification. Terminology;Pediatría
WS 16;Tablas de crecimiento. Estadísticas. Encuestas.;Growth tables. Statistics. Surveys;Pediatría
WS 16.1;Cobertura general;General coverage;Pediatría
WS 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Pediatría
WS 18;Educación;Education;Pediatría
WS 18.2;Materiales educativos;Educational materials;Pediatría
WS 19;Escuelas, departamentos y facultades de pediatría;Schools, departments, and faculties of pediatrics;Pediatría
WS 19.1;Cobertura general;General coverage;Pediatría
WS 20;Investigación (General);Research (General);Pediatría
WS 21;La pediatría como profesión. Ética. Revisión por pares.;Pediatrics as a profession. Ethics. Peer review;Pediatría
WS 22;Directorios;Directories;Pediatría
WS 22.1;Cobertura general;General coverage;Pediatría
WS 23;Academias colectivas, institutos, etc.;Collective academies, institutes, etc.;Pediatría
WS 23.1;Cobertura general;General coverage;Pediatría
WS 24;Academias individuales, institutos, etc.;Individual academies, institutes, etc.;Pediatría
WS 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Pediatría
WS 26;Equipos y suministros;Equipment and supplies;Pediatría
WS 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Pediatría
WS 27;Hospitales colectivos, clínicas, dispensarios, etc.;Collective hospitals, clinics, dispensaries, etc.;Pediatría
WS 27.1;Cobertura general;General coverage;Pediatría
WS 28;Hospitales individuales, clínicas, dispensarios, etc.;Individual hospitals, clinics, dispensaries, etc.;Pediatría
WS 28.5;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Pediatría
WS 28.6;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Pediatría
WS 29;Manuales para el personal del hospital;Hospital staff manuals;Pediatría
WS 32;Leyes;Laws;Pediatría
WS 32.1;Cobertura general;General coverage;Pediatría
WS 33;Discusión de derecho;Discussion of law;Pediatría
WS 33.1;Cobertura general;General coverage;Pediatría
WS 39;Manuales. Guías de recursos;Handbooks. Resource guides;Pediatría
WS 80;Obras populares (General);Popular works (General);Pediatría
WS 100;Obras generales;General works;Pediatría
WS 103;Crecimiento y desarrollo físico normal;Normal physical growth and development;Pediatría
WS 104;Trastornos del crecimiento. Retraso de crecimiento.;Growth disorders. Failure to thrive;Pediatría
WS 105;Crecimiento y desarrollo mental normal. Psicología infantil.;Normal mental growth and development. Child psychology;Pediatría
WS 105.5;Temas especiales, A-Z;Special topics, A-Z;Pediatría
WS 105.5.A8;Actitudes y ajustes ante eventos que cambian la vida (muerte, enfermedad, divorcio, etc.);Attitudes and adjustments to life change events (death, illness, divorce, etc.);Pediatría
WS 105.5.C3;Crianza de los hijos. Crianza de los hijos;Child rearing. Parenting;Pediatría
WS 105.5.C7;Cognición. Fantasía. Imaginación.;Cognition. Fantasy. Imagination;Pediatría
WS 105.5.C8;Comunicación. Comportamiento verbal;Communication. Verbal behavior;Pediatría
WS 105.5.D2;Toma de decisiones. Lógica. Pensamiento. Formación de conceptos. Percepción (psicológica).;Decision making. Logic. Thinking. Concept formation. Perception (Psychological);Pediatría
WS 105.5.D3;Privación (económica, parental, etc.);Deprivation (economic, parental, etc.);Pediatría
WS 105.5.D8;Sueños;Dreams;Pediatría
WS 105.5.E5;Emociones;Emotions;Pediatría
WS 105.5.E8;Evaluación del desarrollo psicológico (General);Evaluation of psychological development (General);Pediatría
WS 105.5.E9;Factores ambientales y sociológicos;Environmental and sociological factors;Pediatría
WS 105.5.F2;Relaciones familiares. Hijo único. Relaciones paternofiliales.;Family relations. Only child. Parent-child relations;Pediatría
[WS 105.5.H2];[Este número no se utiliza];[This number not used];Pediatría
WS 105.5.H7;Niño hospitalizado. Niño institucionalizado.;Hospitalized child. Institutionalized child;Pediatría
WS 105.5.I5;Relaciones interpersonales (médico, par, desconocido, etc.);Interpersonal relations (doctor, peer, stranger, etc.);Pediatría
WS 105.5.M2;Memoria;Memory;Pediatría
WS 105.5.M3;Salud mental;Mental health;Pediatría
WS 105.5.M4;Moralidad;Morals;Pediatría
WS 105.5.M5;Motivación;Motivation;Pediatría
WS 105.5.M8;Música;Music;Pediatría
WS 105.5.P3;Desarrollo de la personalidad;Personality development;Pediatría
WS 105.5.P5;Juego y juguetes;Play and playthings;Pediatría
WS 105.5.P8;estrés psicológico;Psychological stress;Pediatría
WS 105.5.S3;Ser;Self;Pediatría
WS 105.5.S4;Comportamiento sexual. Salud sexual;Sexual behavior. Sexual health;Pediatría
WS 105.5.S5;Relaciones entre hermanos;Sibling relations;Pediatría
WS 105.5.S6;Comportamiento social. Relaciones raciales;Social behavior. Race relations;Pediatría
WS 105.5.T4;Tecnología y medios de comunicación;Technology and communications media;Pediatría
WS 106;Niño excepcional (General);Exceptional child (General);Pediatría
WS 106.2;Niño superdotado;Gifted child;Pediatría
WS 106.4;Niño con discapacidad física;Physically disabled child;Pediatría
WS 107;Discapacidades intelectuales en niños;Intellectual disabilities in children;Pediatría
WS 107.5;Temas especiales relacionados con el niño con discapacidad intelectual, A-Z;Special topics when related to the intellectually disabled child, A-Z;Pediatría
[WS 107.5.B4];[Este número no se utiliza];[This number not used];Pediatría
WS 107.5.C2;Informes de casos. Relatos biográficos;Case reports. Biographical accounts;Pediatría
WS 107.5.C6;Comunicación;Communication;Pediatría
WS 107.5.D3;Desarrollo. Pronóstico;Development. Prognosis;Pediatría
[WS 107.5.F6];[Este número no se utiliza];[This number not used];Pediatría
[WS 107.5.I4];[Este número no se utiliza];[This number not used];Pediatría
WS 107.5.P7;Trastornos psicomotores;Psychomotor disorders;Pediatría
WS 107.5.P8;Problemas psicosociales. Comportamiento social;Psychosocial problems. Social behavior;Pediatría
WS 107.5.R3;Rehabilitación y entrenamiento (General);Rehabilitation and training (General);Pediatría
WS 107.5.R4;Relaciones interpersonales;Interpersonal relations;Pediatría
WS 107.5.R5;Relaciones con la familia. Adaptación familiar.;Relations with family. Family adjustment;Pediatría
WS 110;Discapacidades de aprendizaje (físicas, mentales y neurológicas);Learning disabilities (physical, mental, and neurologic);Pediatría
WS 113;Cuidado y entrenamiento (General);Care and training (General);Pediatría
WS 114;Cuidado infantil;Infant care;Pediatría
WS 115;Requerimientos nutricionales. Trastornos nutricionales (General);Nutritional requirements. Nutrition disorders (General);Pediatría
WS 120;En la infancia;In infancy;Pediatría
WS 125;Lactancia materna;Breast feeding;Pediatría
WS 130;En la infancia;In childhood;Pediatría
WS 132;En la adolescencia;In adolescence;Pediatría
WS 135;Vacunas profilácticas;Prophylactic immunizations;Pediatría
WS 141;Exploración física. Diagnóstico. Detección masiva. Monitoreo.;Physical examination. Diagnosis. Mass screening. Monitoring;Pediatría
WS 200;Obras generales;General works;Pediatría
WS 205;Emergencias pediátricas;Pediatric emergencies;Pediatría
WS 210;Enfermedad crónica (general);Chronic disease (General);Pediatría
WS 220;Cuidados paliativos. Cuidados terminales. Muerte.;Palliative care. Terminal care. Death;Pediatría
WS 260;Sistema tegumentario. Tejido conectivo;Integumentary system. Connective tissue;Pediatría
WS 265;Enfermedades de la piel y del tejido conectivo;Skin and connective tissue diseases;Pediatría
WS 270;Sistema musculoesquelético;Musculoskeletal system;Pediatría
WS 275;Enfermedades musculoesqueléticas;Musculoskeletal diseases;Pediatría
WS 276;Artritis juvenil;Juvenile arthritis;Pediatría
WS 280;Sistema respiratorio;Respiratory system;Pediatría
WS 285;Enfermedades del tracto respiratorio;Respiratory tract diseases;Pediatría
WS 290;Sistema cardiovascular;Cardiovascular system;Pediatría
WS 300;Sistemas hemático e inmunológico;Hemic and immune systems;Pediatría
WS 305;Enfermedades hemáticas y linfáticas. Enfermedades del sistema inmunitario.;Hemic and lymphatic diseases. Immune system diseases;Pediatría
WS 310;Sistema digestivo;Digestive system;Pediatría
WS 311;Enfermedades del sistema digestivo;Digestive system diseases;Pediatría
WS 312;Trastornos diarreicos;Diarrheal disorders;Pediatría
WS 320;Sistema urogenital;Urogenital system;Pediatría
WS 321;Enfermedades urogenitales. Enfermedades urológicas;Urogenital diseases. Urologic diseases;Pediatría
WS 322;Enuresis;Enuresis;Pediatría
WS 330;Sistema endocrino;Endocrine system;Pediatría
WS 335;Enfermedades del sistema endocrino;Endocrine system diseases;Pediatría
WS 340;Sistema nervioso;Nervous system;Pediatría
WS 340.5;Enfermedades del sistema nervioso;Nervous system diseases;Pediatría
WS 341;Enfermedades cerebrales. Lesiones cerebrales.;Brain diseases. Brain injuries;Pediatría
WS 342;daño cerebral crónico;Chronic brain damage;Pediatría
WS 350;Psiquiatría infantil. Orientación infantil.;Child psychiatry. Child guidance;Pediatría
WS 350.2;Terapia;Therapy;Pediatría
WS 350.25;Arteterapia;Art therapy;Pediatría
WS 350.3;Terapia conductual;Behavior therapy;Pediatría
WS 350.32;Biblioterapia;Bibliotherapy;Pediatría
WS 350.33;Terapia farmacológica;Drug therapy;Pediatría
